单词,解释
underpay,"vt. 付给(雇员等)报酬过低

时 态:  
underpaid 
underpaying, underpays 

名 词:  
underpayment"
underpin,"- vt. 用砖石结构等从下面支撑(墙等)；加固(墙等)的基础
- 为(论据、主张等)打下基础；加强；巩固
- n. 基础材料，基础结构
- (学说、理论等的)基础
- (人的)腿

时 态:  
underpinned，underpinning，underpins"
unfathomable,"- adj. 深得无法到达底部的
- 高深莫测的;难以了解的"
unfold,"- vt. 打开；呈现
- vi. 展开；显露


时 态:  
unfolded, unfolding, unfolds"
unfolded,展开的;解开的
unisex,adj. (指服饰等)不分男女的
unitary,adj. 单位的；单一的；统一的
unity,n. 联合；团结；一致；个体
unleashing,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
unleashing an agitated stream of truth,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
unmolested,"adj. 没有苦恼的,无麻烦的"
unremitting,"adj. 不懈的

副 词:  
unremittingly"
unsuspected,"adj. 未被怀疑的,无嫌疑的"
up to,"直到,相当于,胜任,该由...决定"
uphold,"vt. 赞成；支撑；鼓励；举起


时 态:  
upheld 
upholding, upholds 

名 词:  
upholder"
upside down,"颠倒；混乱


形容词:  
upside-down"
use up,"use up
     use up sth • use sth up to use all of something so that there is none left:
   ▪ I had already used up the film in both my cameras.
   ▪ We used up all our money in the first week of the holiday."
valence,"n. (化合)价,原子价"
vandalism,"n. 肆意破坏公物等德行；汪达尔人作风
Vandalism汪达尔人的行为或作风"
vast,"adj. 巨大的, 广大的, 广阔的, 大量的

比较级:  
vaster, vastest 

副 词:  
vastly

名 词:  
vastness"
vault,"- n. （尤指银行的）金库，保险库；拱顶；地下室；撑竿跳
- vi. 跳跃；成穹状弯曲
- vt. 做成圆拱形；撑竿跳过


时 态:  
vaulted, vaulting, vaults 

名 词:  
vaulter"
vegetation,n. 植物(总称); 草木
verse,"- n. 诗, 韵文
- 诗节, 歌曲的一段

时 态:  
versed, versing, verses"
vertex,"n. 顶点；头顶；天顶


复 数: 
vertices"
vibe,"- Ⅰn. ①(感情上的)感应，共鸣②(一地的)气氛，环境
- Ⅱvi. (感情上)产生共鸣"
vibration,"- n. 震动
- (偏离平衡位置的)一次性往复振动
- 摆动；摇摆
- 感受，共鸣；心灵感应

形容词:  
vibrational"
vicar,"n. 教区牧师，教堂牧师；传教牧师；代理人


名 词:  
vicarship"
vice versa,adv. 反过来也一样
vicious,"- adj. 恶的, 邪恶的
- 残酷的, 狠毒的

副 词:  
viciously

名 词:  
viciousness"
victorious,"adj. 胜利的;取胜的;凯旋的

副 词:  
victoriously

名 词:  
victoriousness"
vigilant,"adj. 警惕的；警戒的；警醒的；注意的


副 词:  
vigilantly"
vigorously,adv. 精神旺盛地;活泼地
vintage,"- n. (优良品牌的)葡萄酒
- 收获葡萄酿酒(的期间或季节)
- 一个收获季节采得的葡萄(所酿的酒)
- 酿酒;酿造年份
- 某年代的产品;年代
- adj. (葡萄酒)上等的
- 最佳的;最典型的
- 古色古香的;古老的"
violent,"- adj. 暴力引起的, 粗暴的
- 剧烈的, 强烈的

副 词:  
violently"
violet,n. 紫罗兰
viper,n. 毒蛇；毒如蛇蝎的人，阴险的人
virtuosity,"- n. (在美术、音乐等方面的)精湛技艺
- 对艺术品(或古董等)的爱好
- (总称)艺术爱好者;古董收藏家"
visor,"- n. 面颊,帽舌,盔甲
- vt. (用脸盔,护目镜等)遮护

时 态:  
visoredalso vizored 
visoringvizoring 
visorsvizors"
visual,"adj. 视觉的, 看得见的

副 词:  
visually"
voluminous,"- adj. 宽松的，肥大的
- 大的，容量大的
- 著作多的
- 多卷的；篇幅长的
- adv. 宽松地；容量大地；篇幅长地
- n. 宽松；容量大；篇幅长

名 词:  
voluminosity

副 词:  
voluminously"
vomit,"- vt. 吐出；使……呕吐
- vi. 呕吐；吐出
- n. 呕吐；呕吐物；催吐剂


时 态:  
vomited, vomiting, vomits 

名 词:  
vomiter"
vulnerability,"n. 弱点,攻击"
vulnerable,"adj. 易受伤的, 脆弱的, 敏感的"
wake,"wake
  [woke, woke, waking]
 wake up 
  1.   wake up to stop sleeping:
   ▪ I woke up at six o'clock this morning.
   ▪ She woke up to find that he had gone.
   ■ SIMILAR TO: ↑awake  literary
  2.   wake up sb • wake sb up to make someone stop sleeping, or make someone feel less sleepy:
   ▪ Can you wake me up at 7.30?
   ▪ He was woken up by the sound of traffic outside his window.
   ▪ Have some coffee. It'll wake you up.
  3.   wake up to start to listen or pay attention to something:
   ▪ Wake up! You almost hit that car!
 wake up to 
     wake up to sth to start to realize that something is important and pay attention to it, for example a new situation, a problem, or something that may be dangerous:
   ▪ Companies are finally waking up to the fact that it's actually cheaper to let people work from home.
   ▪ In the mid eighties people started waking up to the dangers of AIDS.
   ■ SIMILAR TO: realize, acknowledge  formal"
wands,n. 权杖；魔杖；指挥棒（wand的复数形式）
wane,"- vi. 变小；衰落；亏缺；退潮；消逝
- n. 月亏；衰退；衰退期；缺损


时 态:  
waned, waning, wanes"
wary,"adj. 机警的；谨慎的；惟恐的；考虑周到的


比较级:  
warier, wariest 

副 词:  
warily

名 词:  
wariness"
washbasin,n. 盥洗池;洗脸池;洗脸盆
wax,"- n. 蜡；蜡状物
- vt. 给…上蜡
- vi. 月亮渐满；增大
- adj. 蜡制的；似蜡的


时 态:  
waxed, waxing, waxes"
we take for granted,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
weaving together,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
wedge,"wedge
 be wedged in 
    be wedged in to be stuck in a small space:
   ▪ Firemen had difficulty freeing the injured driver, who was wedged in behind the steering-wheel.
   ■ SIMILAR TO: be trapped"
weed,"weed
  [weeded, weeded, weeding]
 weed out 
     weed out sb/sth • weed sb/sth out to get rid of some people or things from a group, because they are unsuitable or not good enough:
   ▪ A committee was established to weed out corrupt party officials.
   ▪ First we need to weed out any data that is no longer valid.
   ▪ a system of tests designed to weed out candidates who lack leadership qualities"
"Well, it follows my expedition to study the vegetation indigenous to the rain forest in equatorial areas of Southeast Asia","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
well-attested,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
